"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Bohm, Alec",664761,2023,558,611,20,15.4,".274",".437",".327","0.764","0.163",".296","5",".329","72","7.4","89.4","11.1",35.1,5.7,7,18.1
"Yastrzemski, Mike",573262,2024,428,474,18,26.2,".231",".437",".302","0.739","0.206",".282","6",".319","70.9","7.6","90.4","19.1",33,10.5,6.5,26.1
"Wells, Austin",669224,2023,70,75,4,18.7,".229",".486",".257","0.743","0.257",".226","0",".309","71.4","7.4","89.5","13.6",33.3,14,7,29.6
"Ramos, Bryan",682868,2024,99,108,3,20.4,".202",".333",".252","0.585","0.131",".227","0",".257","72","8.5","90.1","11.8",35.9,6.4,6.4,29
"Moncada, Yoán",660162,2023,334,357,11,30,".260",".425",".305","0.730","0.165",".350","2",".315","74.2","7.7","89.4","12.3",42.5,10.1,8.3,30.7
"Guillorme, Luis",641645,2023,107,120,1,23.3,".224",".327",".288","0.615","0.103",".291","0",".269","65.2","7.2","85.9","11.8",31.7,1.2,2.4,17.6
"Stubbs, Garrett",596117,2023,113,125,1,23.2,".204",".283",".274","0.557","0.079",".265","2",".252","67.5","7","83.4","22.4",18.8,0,2.4,22.8
"Andujar, Miguel",609280,2023,84,90,4,14.4,".250",".476",".300","0.776","0.226",".254","0",".330","71.8","7.7","89.2","5.3",28.2,7,4.2,21.6
"Langeliers, Shea",669127,2023,448,490,22,29.2,".205",".413",".268","0.681","0.208",".246","5",".290","74.6","7.2","90.6","19.6",30.8,13.3,6.8,32.1
"Vargas, Ildemaro",545121,2024,272,303,1,10.2,".246",".316",".295","0.611","0.070",".269","2",".271","69.6","7.2","87","4",29.5,1.2,4,12.6
"Maldonado, Martín",455117,2023,362,407,15,34.2,".191",".348",".258","0.606","0.157",".260","3",".266","71.7","7.7","88.4","18.1",32.8,8.5,7.7,34.3
"Serven, Brian",661531,2024,63,71,0,31,".159",".222",".243","0.465","0.063",".244","2",".217","70.3","7.5","84.7","20.6",35.7,2.4,9.5,23.6
"Abreu, José",547989,2024,113,120,2,23.3,".124",".195",".167","0.362","0.071",".143","2",".164","73.1","7.1","87.8","6.7",26.7,2.3,3.5,29.7
"Chaparro, Andrés",665953,2024,121,132,4,18.2,".215",".413",".280","0.693","0.198",".237","4",".301","72.4","7.1","87.8","16.6",27.8,6.2,8.2,24.8
"Brennan, Will",686823,2024,330,353,8,13.6,".264",".388",".309","0.697","0.124",".287","3",".303","69","6.8","86","13.3",31.1,4.6,4.2,18.1
"Muncy, Max",571970,2024,237,293,15,26.3,".232",".494",".358","0.852","0.262",".265","5",".362","71.3","7.2","90.2","26.6",32.5,10.8,11.4,31
"Judge, Aaron",592450,2023,367,458,37,28.4,".267",".613",".406","1.019","0.346",".300","0",".420","76.4","8.1","97.6","20.4",37.1,27.5,10.4,36.6
"Nuñez, Nasim",683083,2024,61,78,0,19.2,".246",".262",".370","0.632","0.016",".326","0",".300","66.5","6.7","83.3","-1.9",17.6,0,3.9,19.5
"Hinds, Rece",677956,2024,46,51,5,31.4,".261",".717",".333","1.050","0.456",".280","1",".433","75.2","7.7","91.6","18.9",40,20,0,38.2
"Edman, Tommy",669242,2024,139,153,6,19.6,".237",".417",".294","0.711","0.180",".257","1",".307","69.8","6.9","87.6","11.4",31.5,3.6,5.4,24
"Raleigh, Cal",663728,2024,546,628,34,28,".220",".436",".312","0.748","0.216",".251","6",".323","74.5","7.8","91","21.2",35.6,15.4,6.9,31
"Swanson, Dansby",621020,2024,534,593,16,24.3,".242",".390",".312","0.702","0.148",".300","2",".307","71.7","7.4","89.4","10.4",32.6,9.2,7.9,28.7
"Kelenic, Jarred",672284,2024,412,449,15,29.6,".231",".393",".286","0.679","0.162",".300","1",".294","72.7","7.3","89.8","16",38.2,9.9,8.8,33.4
"Pasquantino, Vinnie",686469,2023,231,260,9,11.9,".247",".437",".324","0.761","0.190",".250","2",".327",,,"89.3","17.4",37.8,7.5,8.5,17.4
"Noda, Ryan",676116,2023,406,495,16,34.3,".229",".406",".364","0.770","0.177",".347","10",".342","72.2","7.3","91.2","16",38.2,13,8.8,36.9
"Chourio, Jackson",694192,2024,528,573,21,21.1,".275",".464",".327","0.791","0.189",".320","3",".339","73.2","7.4","89.7","7.6",33.2,7.8,6.6,27.1
"Tauchman, Mike",643565,2023,337,401,8,21.4,".252",".377",".362","0.739","0.125",".313","4",".330","68.4","6.8","88.4","8.1",37.6,5.5,5.5,24.5
"Fraley, Jake",641584,2023,336,380,15,18.7,".256",".443",".339","0.782","0.187",".283","6",".338","71.7","7.1","84.6","16.5",38,6.4,7.1,24.1
"Perkins, Blake",663368,2023,143,168,4,27.4,".217",".350",".325","0.675","0.133",".290","0",".303","69.1","7.1","85.8","14.8",31.3,5.1,5.1,22.9
"Steer, Spencer",668715,2023,582,665,23,20.9,".271",".464",".356","0.820","0.193",".318","11",".355","71.5","7.4","88.7","15.3",35.3,6.7,6.5,24.1
"Stewart, DJ",621466,2023,160,185,11,30.3,".244",".506",".333","0.839","0.262",".298","7",".358","71","7.2","89.9","16.5",34,12.3,10.4,35.8
"Pederson, Joc",592626,2024,367,449,23,23.4,".275",".515",".393","0.908","0.240",".322","18",".391","73.4","7.7","92.3","16.9",34.2,12.8,5.6,25
"Velázquez, Nelson",676369,2023,162,179,17,28.5,".235",".586",".302","0.888","0.351",".221","2",".369","72.9","7.5","91","14.4",31.3,21.4,2.7,33.7
"Torkelson, Spencer",679529,2024,342,381,10,27.6,".219",".374",".295","0.669","0.155",".285","4",".295","73.6","7.5","89","20.2",31.5,6.7,5,26.6
"Rizzo, Anthony",519203,2023,373,421,12,23,".244",".378",".328","0.706","0.134",".298","12",".312","68.8","6.9","90","17.8",41.2,6.9,6.9,25
"Paredes, Isaac",670623,2024,542,641,19,16.4,".238",".393",".346","0.739","0.155",".259","17",".327","68.2","8","85","22.4",37,4.5,7.2,17.2
"Sánchez, Jesús",660821,2023,360,402,14,26.6,".253",".450",".327","0.777","0.197",".321","2",".334","74.4","7","90.4","5.6",32.9,12.2,4.7,30.1
"Castro, Willi",650489,2023,358,409,9,24.2,".257",".411",".339","0.750","0.154",".328","12",".327","72","7.3","86.5","15.1",34.5,6.8,4.9,27.9
