"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Calhoun, Kole",594777,2023,157,174,6,".217",".376",".282","0.658","0.159",".241","2","69.4","7","86.6","19.9",33.6,6.6,5.7
"Schmitt, Casey",669477,2023,253,277,5,".206",".324",".255","0.579","0.118",".253","5","70.5","7.2","88.1","15.1",32,6.7,3.6
"Cronenworth, Jake",630105,2023,458,522,10,".229",".378",".312","0.690","0.149",".267","11","68.3","6.8","87.4","15.2",35.7,4.4,8.4
"Bellinger, Cody",641355,2024,516,569,18,".266",".426",".325","0.751","0.160",".287","3","69","7.6","87.8","17.4",32.9,6.3,3.9
"Hill, Derek",656537,2024,162,172,7,".241",".420",".271","0.691","0.179",".320","2","70.4","7.3","88.3","9.8",37.6,11,4.6
"Murphy, Tom",608596,2023,145,159,8,".290",".538",".335","0.873","0.248",".358","1","72.5","8","89.5","13.7",40.8,14.6,4.9
"Rafaela, Ceddanne",678882,2023,83,89,2,".241",".386",".281","0.667","0.145",".333","1","69.3","7.3","85.5","8.1",39.3,5.4,3.6
"Wagaman, Eric",676572,2024,72,74,2,".250",".403",".270","0.673","0.153",".302","0","71.1","6.9","91.7","8.3",38.2,5.5,12.7
"Wong, Connor",657136,2024,447,487,13,".280",".425",".333","0.758","0.145",".348","9","72","7.3","86.5","12.9",30.7,6.3,5.4
"Dunn, Oliver",686554,2024,95,104,1,".221",".316",".282","0.598","0.095",".370","2","75.2","7.6","89.1","6.6",33.9,5.4,10.7
"Dezenzo, Zach",701305,2024,62,65,2,".242",".371",".277","0.648","0.129",".342","0","75.4","7.5","87.5","10.5",30,10,7.5
"Peña, Jeremy",665161,2023,577,634,10,".263",".381",".324","0.705","0.118",".323","9","71.6","8","88","5.5",32.4,4,5.3
"Bryant, Kris",592178,2023,300,335,10,".233",".367",".313","0.680","0.134",".270","6","69.3","8","85.7","14.4",34.1,6,7.3
"Newman, Kevin",621028,2024,288,311,3,".278",".375",".311","0.686","0.097",".322","0","67.6","6.7","85.6","9.7",25,1.6,1.6
"Velázquez, Nelson",676369,2023,162,179,17,".235",".586",".302","0.888","0.351",".221","2","72.9","7.5","91","14.4",31.3,21.4,2.7
"De La Cruz, Elly",682829,2024,618,696,25,".259",".471",".339","0.810","0.212",".359","6","75.2","7.3","91.8","9.7",35.7,12.7,6.2
"Kirilloff, Alex",666135,2024,159,178,5,".201",".384",".270","0.654","0.183",".245","1","72.4","7.8","91.3","13.2",27,11.3,9.6
"Schneemann, Daniel",682177,2024,193,221,5,".218",".368",".303","0.671","0.150",".306","0","70.7","7","88.5","11.1",41.3,4.8,5.6
"Perkins, Blake",663368,2023,143,168,4,".217",".350",".325","0.675","0.133",".290","0","69.1","7.1","85.8","14.8",31.3,5.1,5.1
"Cameron, Daz",663662,2024,170,186,5,".200",".329",".258","0.587","0.129",".250","1","72.9","6.8","91.6","8.6",36.4,8.3,6.6
"Pinto, René",650907,2023,103,105,6,".252",".456",".267","0.723","0.204",".317","0","72.9","7.2","90.5","16.9",44.9,15.9,5.8
"Dahl, David",621311,2024,58,62,3,".207",".397",".242","0.639","0.190",".257","0","68.1","7.2","87.1","12.7",36.8,7.9,13.2
"Cowser, Colton",681297,2024,499,561,24,".242",".447",".321","0.768","0.205",".317","7","73.8","6.9","90.5","13",32.1,13.6,7.6
