"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","fast_swing_rate","blasts_swing","squared_up_swing","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Bruján, Vidal",660644,2023,76,84,0,25,".171",".197",".241","0.438","0.026",".236","2",".206","68.3",4.5,6.8,22.7,"7","86","12",19.6,1.8,1.8,75.9,32.3,78.5,22.8
"Perkins, Blake",663368,2023,143,168,4,27.4,".217",".350",".325","0.675","0.133",".290","0",".303","69.1",5.6,6.7,22.5,"7.1","85.8","14.8",31.3,5.1,5.1,55.3,16.8,79.7,22.9
"Gurriel Jr., Lourdes",666971,2024,513,553,18,18.3,".279",".435",".322","0.757","0.156",".313","6",".327","70.6",9.5,10.9,25.7,"7.5","88.4","15.7",33.8,6.7,7.2,69.5,32.9,88.2,20.2
"LeMahieu, DJ",518934,2024,201,228,2,15.4,".204",".259",".269","0.528","0.055",".229","1",".239","67.3",5.3,9.5,32.6,"7.1","88.5","1.9",31.8,5.8,7.5,59.5,29.1,91.1,17.5
"Kelly, Carson",608348,2024,281,313,9,17.6,".238",".374",".313","0.687","0.136",".266","6",".304","69.5",5.9,10.1,29.3,"6.9","87.6","13.6",27.3,6.6,7.9,66.7,24.4,86,22.8
"Arcia, Orlando",606115,2024,551,602,17,21.3,".218",".354",".271","0.625","0.136",".249","2",".273","70.9",13.5,9.3,25.8,"7.9","88.2","8.6",29.9,5.3,6.5,70.8,27.6,82.3,26.6
"Naylor, Josh",647304,2023,452,495,17,13.7,".308",".489",".354","0.843","0.181",".326","3",".354","73.2",35.9,12.5,26.8,"7.6","89.1","12.3",35.5,8.2,6.9,76.3,39.5,88.3,19.8
"Mastrobuoni, Miles",670156,2023,133,149,1,21.5,".241",".301",".308","0.609","0.060",".310","0",".275","67.8",3.2,11.7,35.1,"6.7","87.5","13.7",31.7,1.9,4.8,53.1,23.8,80.1,22.6
"Montero, Elehuris",660707,2023,284,307,11,36.2,".243",".426",".290","0.716","0.183",".352","5",".306","75.3",50.6,10.3,17.7,"7.7","88.3","9.9",31.8,6.8,8,65.7,43.2,79.7,39.3
"Moniak, Mickey",666160,2024,392,418,14,27.3,".219",".380",".266","0.646","0.161",".272","4",".281","73.1",28.6,9.3,20.2,"7.7","88.1","19.8",31.9,9.3,5,75.1,39.7,77.3,30.6
